#Datasets	 Day:8	 Day:12	 Day:5	 Day:1
"InterPro2GO;GO:0005575 cellular_component;GO:0005874 microtubule;"	 26563.0	 19824.0	 7735.0	 8306.0
"InterPro2GO;GO:0005575 cellular_component;GO:0005634 nucleus;"	 73169.0	 58639.0	 20395.0	 23106.0
"InterPro2GO;GO:0005575 cellular_component;GO:0042597 periplasmic space;"	 141435.0	 146796.0	 47708.0	 23680.0
"InterPro2GO;GO:0005575 cellular_component;GO:0005839 proteasome core complex;"	 80327.0	 109129.0	 44240.0	 9215.0
"InterPro2GO;GO:0005575 cellular_component;GO:0005840 ribosome;"	 1713615.0	 1849677.0	 755239.0	 258969.0
"InterPro2GO;GO:0005575 cellular_component;GO:0048500 signal recognition particle;"	 50717.0	 61552.0	 29245.0	 10337.0
"InterPro2GO;GO:0005575 cellular_component;GO:0009579 thylakoid;"	 35858.0	 18400.0	 4712.0	 6950.0
"InterPro2GO;GO:0005575 cellular_component;GO:0019012 virion;"	 1629.0	 2123.0	 1145.0	 2044.0
"InterPro2GO;GO:0003674 molecular_function;"	 3.9394112E7	 4.1929592E7	 1.6311048E7	 6739635.0
"InterPro2GO;GO:0003674 molecular_function;GO:0016209 antioxidant activity;"	 105330.0	 121988.0	 51246.0	 19235.0
"InterPro2GO;GO:0003674 molecular_function;GO:0030246 carbohydrate binding;"	 29709.0	 24852.0	 8605.0	 4832.0
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;"	 2.9116816E7	 3.1106052E7	 1.2074104E7	 4889471.0
"InterPro2GO;GO:0003674 molecular_function;GO:0050662 coenzyme binding;"	 1643327.0	 1748638.0	 682323.0	 228668.0
"InterPro2GO;GO:0003674 molecular_function;GO:0003700 DNA-binding transcription factor activity;"	 484627.0	 482904.0	 162569.0	 86274.0
"InterPro2GO;GO:0003674 molecular_function;GO:0043167 ion binding;"	 8315682.0	 8861432.0	 3377063.0	 1342093.0
"InterPro2GO;GO:0003674 molecular_function;GO:0051536 iron-sulfur cluster binding;"	 649963.0	 710271.0	 281017.0	 98587.0
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;"	 3882152.0	 4182422.0	 1648291.0	 734613.0
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;"	 6496205.0	 6891687.0	 2660454.0	 1048722.0
"InterPro2GO;GO:0003674 molecular_function;GO:0004601 peroxidase activity;"	 125309.0	 134696.0	 55122.0	 23682.0
"InterPro2GO;GO:0003674 molecular_function;GO:0005515 protein binding;"	 463014.0	 465941.0	 188125.0	 88917.0
"InterPro2GO;GO:0003674 molecular_function;GO:0030170 pyridoxal phosphate binding;"	 520900.0	 540835.0	 195123.0	 86861.0
"InterPro2GO;GO:0003674 molecular_function;GO:0038023 signaling receptor activity;"	 280235.0	 309078.0	 141295.0	 58400.0
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;"	 1895895.0	 2036538.0	 841251.0	 286108.0
"InterPro2GO;GO:0003674 molecular_function;GO:0046906 tetrapyrrole binding;"	 1406848.0	 1495847.0	 644577.0	 369553.0
"InterPro2GO;GO:0003674 molecular_function;GO:0005215 transporter activity;"	 4269903.0	 4427331.0	 1748592.0	 900987.0
"InterPro2GO;GO:0003674 molecular_function;GO:0019842 vitamin binding;"	 421144.0	 454361.0	 176953.0	 62852.0
